action step xA yA dirA xB yB dirB
[Move] 167 3 1 0 2 4 3
[Move] 168 4 1 1 2 3 0
[Move] 169 3 1 3 2 4 2
[Move] 170 3 2 2 1 4 3
[Move] 171 3 1 0 1 3 0
[Move] 172 2 1 3 2 3 1
[Move] 173 3 1 1 1 3 3
[Move] 174 2 1 3 2 3 1
[Move] 175 2 2 2 2 4 2
[Move] 176 2 1 0 1 4 3
[Move] 177 2 2 2 2 4 1
[Move] 178 1 2 3 3 4 1
[Move] 179 2 2 1 2 4 3
[Move] 180 2 1 0 2 3 0
[Move] 181 3 1 1 3 3 1
[Move] 182 4 1 1 3 2 0
[Move] 183 4 2 2 3 1 0
[Move] 184 4 3 2 2 1 3
[Move] 185 3 3 3 2 2 2
[Move] 186 3 2 0 1 2 3
[Move] 187 4 2 1 1 1 0
[Move] 188 3 2 3 1 2 2
[Move] 189 3 3 2 1 1 0
[Move] 190 2 3 3 1 2 2
[Move] 191 1 3 3 2 2 1
[Move] 192 1 2 0 3 2 1
[Move] 193 1 1 0 2 2 3
[Move] 194 1 2 2 2 1 0
[Move] 195 1 1 0 3 1 1
[Move] 196 2 1 1 3 2 2
[Move] 197 3 1 1 3 3 2
[Move] 198 2 1 3 4 3 1
[Move] 199 3 1 1 4 4 2
[Move] 200 3 2 2 3 4 3
[Move] 201 3 3 2 4 4 1
[Move] 202 4 3 1 3 4 3
[Move] 203 4 4 2 3 3 0
[Move] 204 3 4 3 2 3 3
[Move] 205 4 4 1 3 3 1
[Move] 206 4 3 0 4 3 1
[Move] 207 3 3 3 4 4 2
[Move] 208 3 2 0 3 4 3
[Move] 209 4 2 1 3 3 0
[Move] 210 3 2 3 3 2 0
[Move] 211 3 3 2 2 2 3
[Move] 212 2 3 3 2 3 2
[Move] 213 2 4 2 2 2 0
[Move] 214 3 4 1 1 2 3
[Move] 215 3 3 0 1 3 2
[Move] 216 3 4 2 2 3 1
[Move] 217 2 4 3 3 3 1
[Move] 218 3 4 1 3 2 0
[Move] 219 4 4 1 4 2 1
[Move] 220 4 3 0 4 3 2
[Move] 221 4 4 2 3 3 3
[Move] 222 4 3 0 3 4 2
[Move] 223 3 3 3 4 4 1
[Move] 224 4 3 1 3 4 3
[Move] 225 4 4 2 4 4 1
[Move] 226 4 3 0 3 4 3
[Move] 227 3 3 3 4 4 1
[Move] 228 3 2 0 3 4 3
[Move] 229 3 3 2 3 3 0
[Move] 230 2 3 3 2 3 3
[Move] 231 2 2 0 1 3 3
[Move] 232 2 3 2 1 4 2
[Move] 233 1 3 3 2 4 1
[Move] 234 1 4 2 2 3 0
[Move] 235 2 4 1 3 3 1
[Move] 236 3 4 1 2 3 3
[Move] 237 3 3 0 1 3 3
[Move] 238 3 4 2 1 2 0
[Move] 239 4 4 1 1 3 2
[Move] 240 3 4 3 1 2 0
[Move] 241 4 4 1 2 2 1
[Move] 242 3 4 3 3 2 1
[Move] 243 2 4 3 3 1 0
[Move] 244 3 4 1 2 1 3
[Move] 245 4 4 1 1 1 3
[Move] 246 3 4 3 1 2 2
[Move] 247 3 3 0 2 2 1
[Move] 248 3 4 2 2 1 0
[Move] 249 3 3 0 1 1 3
[Move] 250 3 2 0 2 1 1
[Move] 251 2 2 3 2 2 2
[Move] 252 2 3 2 2 3 2
[Move] 253 1 3 3 2 4 2
[Move] 254 2 3 1 3 4 1
[Move] 255 1 3 3 2 4 3
[Move] 256 2 3 1 2 3 0
[Move] 257 2 2 0 3 3 1
[Move] 258 2 3 2 3 2 0
[Move] 259 2 2 0 3 1 0
[Move] 260 3 2 1 2 1 3
[Move] 261 3 1 0 3 1 1
[Move] 262 3 2 2 3 2 2
[Move] 263 3 3 2 4 2 1
[Move] 264 2 3 3 4 3 2
[Move] 265 1 3 3 4 4 2
[Move] 266 2 3 1 3 4 3
[Move] 267 3 3 1 3 3 0
[Move] 268 3 4 2 2 3 3
[Move] 269 3 3 0 2 4 2
[Move] 270 2 3 3 2 3 0
[Move] 271 2 4 2 2 4 2
[Move] 272 1 4 3 2 3 0
[Move] 273 1 3 0 1 3 3
[Move] 274 1 4 2 2 3 1
[Move] 275 2 4 1 1 3 3
[Move] 276 1 4 3 1 4 2
[Move] 277 1 3 0 1 3 0
[Move] 278 2 3 1 1 4 2
[Move] 279 2 4 2 2 4 1
[Move] 280 2 3 0 3 4 1
[Move] 281 2 4 2 4 4 1
[Move] 282 1 4 3 3 4 3
[Move] 283 2 4 1 3 3 0
[Move] 284 2 3 0 3 2 0
[Move] 285 3 3 1 4 2 1
[Move] 286 2 3 3 4 3 2
[Move] 287 2 4 2 3 3 3
[Move] 288 3 4 1 3 2 0
[Move] 289 4 4 1 4 2 1
[Move] 290 4 3 0 3 2 3
[Move] 291 3 3 3 3 3 2
[Move] 292 4 3 1 2 3 3
[Move] 293 3 3 3 2 4 2
[Move] 294 3 4 2 1 4 3
[Move] 295 4 4 1 1 3 0
[Move] 296 3 4 3 2 3 1
[Move] 297 3 3 0 3 3 1
[Move] 298 2 3 3 4 3 1
[Move] 299 3 3 1 4 2 0
[Move] 300 2 3 3 4 3 2
[Move] 301 1 3 3 4 2 0
[Move] 302 2 3 1 4 3 2
[Move] 303 3 3 1 3 3 3
[Move] 304 3 2 0 4 3 1
[Move] 305 2 2 3 3 3 3
[Move] 306 2 3 2 3 2 0
[Move] 307 2 2 0 4 2 1
[Move] 308 3 2 1 4 3 2
[Move] 309 3 1 0 4 4 2
[Move] 310 3 2 2 4 3 0
[Move] 311 2 2 3 4 2 0
[Move] 312 2 1 0 3 2 3
[Move] 313 1 1 3 3 1 0
[Move] 314 1 2 2 4 1 1
[Move] 315 1 1 0 4 2 2
[Move] 316 2 1 1 3 2 3
[Move] 317 1 1 3 3 3 2
[Move] 318 2 1 1 2 3 3
[Move] 319 3 1 1 1 3 3
[Move] 320 3 2 2 1 2 0
[Move] 321 2 2 3 2 2 1
[Move] 322 2 3 2 1 2 3
[Move] 323 2 2 0 1 1 0
[Move] 324 2 3 2 1 2 2
[Move] 325 2 2 0 1 3 2
[Move] 326 3 2 1 2 3 1
[Move] 327 3 1 0 3 3 1
[Move] 328 2 1 3 3 4 2
[Move] 329 3 1 1 2 4 3
[Move] 330 2 1 3 1 4 3
[Move] 331 3 1 1 1 3 0
[Move] 332 2 1 3 1 4 2
[Move] 333 1 1 3 2 4 1
[Move] 334 1 2 2 3 4 1
[Move] 335 1 1 0 2 4 3
[Move] 336 2 1 1 3 4 1
[Move] 337 2 2 2 3 3 0
[Move] 338 1 2 3 2 3 3
[Move] 339 1 3 2 3 3 1
[Move] 340 1 2 0 2 3 3
[Move] 341 2 2 1 2 2 0
[Move] 342 2 3 2 3 2 1
[Move] 343 2 4 2 3 3 2
[Move] 344 1 4 3 3 2 0
[Move] 345 1 3 0 2 2 3
[Move] 346 1 4 2 2 3 2
[Move] 347 2 4 1 1 3 3
[Move] 348 3 4 1 1 4 2
[Move] 349 3 3 0 2 4 1
[Move] 350 4 3 1 2 3 0
[Move] 351 4 2 0 2 4 2
[Move] 352 4 3 2 1 4 3
[Move] 353 4 2 0 1 3 0
[Move] 354 4 3 2 2 3 1
[Move] 355 4 2 0 2 2 0
[Move] 356 3 2 3 2 1 0
[Move] 357 2 2 3 3 1 1
[Move] 358 2 1 0 3 2 2
[Move] 359 2 2 2 2 2 3
[Move] 360 2 3 2 2 3 2
[Move] 361 2 4 2 2 2 0
[Move] 362 3 4 1 3 2 1
[Move] 363 2 4 3 4 2 1
[Move] 364 1 4 3 3 2 3
[Move] 365 2 4 1 3 1 0
[Move] 366 1 4 3 4 1 1
[Move] 367 1 3 0 4 2 2
[Move] 368 1 4 2 3 2 3
[Move] 369 2 4 1 2 2 3
[Move] 370 1 4 3 2 3 2
[Move] 371 1 3 0 1 3 3
[Move] 372 1 2 0 2 3 1
[Move] 373 1 3 2 2 2 0
[Move] 374 1 4 2 2 3 2
[Move] 375 2 4 1 1 3 3
[Move] 376 2 3 0 2 3 1
[Move] 377 3 3 1 2 2 0
[Move] 378 3 2 0 1 2 3
[Move] 379 4 2 1 1 3 2
[Move] 380 4 1 0 2 3 1
[Move] 381 4 2 2 2 2 0
[Move] 382 3 2 3 1 2 3
[Move] 383 2 2 3 1 1 0
[Move] 384 2 1 0 2 1 1
[Move] 385 3 1 1 2 2 2
[Move] 386 4 1 1 3 2 1
[Move] 387 4 2 2 4 2 1
[Move] 388 3 2 3 4 3 2
[Move] 389 3 3 2 3 3 3
[Move] 390 4 3 1 3 2 0
[Move] 391 4 4 2 2 2 3
[Move] 392 4 3 0 3 2 1
[Move] 393 4 4 2 3 1 0
[Move] 394 3 4 3 2 1 3
[Move] 395 2 4 3 1 1 3
[Move] 396 1 4 3 2 1 1
[Move] 397 1 3 0 2 2 2
[Move] 398 2 3 1 1 2 3
[Move] 399 2 4 2 2 2 1
[Move] 400 3 4 1 2 3 2
[Move] 401 3 3 0 2 2 0
[Move] 402 4 3 1 2 1 0
[Move] 403 4 4 2 1 1 3
[Move] 404 3 4 3 2 1 1
[Move] 405 3 3 0 1 1 3
[Move] 406 3 4 2 2 1 1
[Move] 407 4 4 1 3 1 1
[Move] 408 4 3 0 4 1 1
[Move] 409 3 3 3 3 1 3
[Move] 410 2 3 3 3 2 2
[Move] 411 2 2 0 3 3 2
[Move] 412 2 1 0 2 3 3
[Move] 413 1 1 3 3 3 1
[Move] 414 2 1 1 3 4 2
[Move] 415 3 1 1 4 4 1
[Move] 416 4 1 1 4 3 0
[Move] 417 4 2 2 4 4 2
[Move] 418 3 2 3 3 4 3
[Move] 419 3 1 0 2 4 3
[Move] 420 4 1 1 3 4 1
[Move] 421 4 2 2 4 4 1
[Move] 422 4 1 0 3 4 3
[Move] 423 3 1 3 2 4 3
[Move] 424 4 1 1 3 4 1
[Move] 425 3 1 3 3 3 0
[Move] 426 3 2 2 4 3 1
[Move] 427 2 2 3 4 4 2
[Move] 428 2 3 2 3 4 3
[Move] 429 1 3 3 3 3 0
[Move] 430 1 4 2 4 3 1
[Move] 431 1 3 0 4 2 0
[Move] 432 2 3 1 3 2 3
[Move] 433 2 2 0 4 2 1
[Move] 434 3 2 1 4 3 2
[Move] 435 3 1 0 4 4 2
[Move] 436 4 1 1 3 4 3
[Move] 437 4 2 2 2 4 3
[Move] 438 3 2 3 3 4 1
[Move] 439 2 2 3 3 3 0
[Move] 440 1 2 3 2 3 3
[Move] 441 1 3 2 2 4 2
[Move] 442 1 4 2 1 4 3
[Move] 443 2 4 1 1 3 0
[Move] 444 3 4 1 2 3 1
[Move] 445 2 4 3 1 3 3
[Move] 446 2 3 0 1 4 2
[Move] 447 3 3 1 2 4 1
[Move] 448 4 3 1 2 3 0
[Move] 449 3 3 3 2 4 2
[Move] 450 4 3 1 1 4 3
[Move] 451 4 2 0 2 4 1
[Move] 452 4 1 0 2 3 0
[Move] 453 3 1 3 2 4 2
[Move] 454 2 1 3 1 4 3
[Move] 455 2 2 2 1 3 0
[Move] 456 3 2 1 1 2 0
[Move] 457 3 3 2 2 2 1
[Move] 458 3 4 2 1 2 3
[Move] 459 2 4 3 1 1 0
[Move] 460 3 4 1 1 2 2
[Move] 461 3 3 0 2 2 1
[Move] 462 4 3 1 1 2 3
[Move] 463 4 4 2 1 3 2
[Move] 464 4 3 0 1 4 2
[Move] 465 4 4 2 2 4 1
[Move] 466 4 3 0 2 3 0
[Move] 467 3 3 3 3 3 1
[Move] 468 3 2 0 3 2 0
[Move] 469 3 3 2 3 3 2
[Move] 470 2 3 3 3 4 2
[Move] 471 2 4 2 4 4 1
[Move] 472 1 4 3 4 3 0
[Move] 473 2 4 1 4 2 0
[Move] 474 2 3 0 4 3 2
[Move] 475 3 3 1 4 2 0
[Move] 476 3 2 0 3 2 3
[Move] 477 2 2 3 3 1 0
[Move] 478 3 2 1 4 1 1
[Move] 479 2 2 3 4 2 2
[Move] 480 2 3 2 4 3 2
[Move] 481 1 3 3 4 2 0
[Move] 482 1 4 2 3 2 3
[Move] 483 1 3 0 2 2 3
[Move] 484 2 3 1 2 3 2
