action step xA yA dirA xB yB dirB
- 0 1 2 1 3 4 0
[Move] 1 1 1 0 3 3 0
[Move] 2 1 2 2 3 4 2
[Move] 3 1 1 0 3 3 0
[Move] 4 1 2 2 3 2 0
[Move] 5 1 3 2 4 2 1
[Move] 6 1 2 0 4 3 2
[Move] 7 2 2 1 4 4 2
[Move] 8 1 2 3 4 3 0
[Move] 9 1 1 0 4 2 0
[Move] 10 2 1 1 4 1 0
[Move] 11 2 2 2 4 2 2
[Move] 12 2 3 2 3 2 3
[Move] 13 1 3 3 3 3 2
[Move] 14 1 4 2 3 2 0
[Move] 15 2 4 1 2 2 3
[Move] 16 1 4 3 2 3 2
[Move] 17 2 4 1 2 4 2
[Move] 18 2 3 0 2 3 0
[Move] 19 1 3 3 3 3 1
[Move] 20 1 4 2 3 4 2
[Move] 21 1 3 0 4 4 1
[Move] 22 1 2 0 3 4 3
[Move] 23 2 2 1 4 4 1
[Move] 24 2 1 0 3 4 3
[Move] 25 1 1 3 2 4 3
[Move] 26 1 2 2 2 3 0
[Move] 27 1 3 2 2 2 0
[Move] 28 2 3 1 2 3 2
[Move] 29 2 2 0 2 2 0
[Move] 30 2 1 0 2 1 0
[Move] 31 1 1 3 2 2 2
[Move] 32 1 2 2 1 2 3
[Move] 33 1 3 2 2 2 1
[Move] 34 1 2 0 3 2 1
[Move] 35 1 3 2 2 2 3
[Move] 36 2 3 1 1 2 3
[Move] 37 2 4 2 1 1 0
[Move] 38 2 3 0 1 2 2
[Move] 39 2 2 0 1 1 0
[Move] 40 2 1 0 1 2 2
[Move] 41 3 1 1 2 2 1
[Move] 42 3 2 2 2 3 2
[Move] 43 3 1 0 2 2 0
[Move] 44 4 1 1 3 2 1
[Move] 45 3 1 3 3 3 2
[Move] 46 2 1 3 3 2 0
[Move] 47 1 1 3 3 3 2
[Move] 48 1 2 2 3 2 0
[Move] 49 1 3 2 3 1 0
[Move] 50 1 2 0 4 1 1
[Move] 51 1 3 2 4 2 2
[Move] 52 2 3 1 4 3 2
[Move] 53 2 4 2 4 2 0
[Move] 54 1 4 3 4 3 2
[Move] 55 1 3 0 3 3 3
[Move] 56 1 4 2 2 3 3
[Move] 57 1 3 0 2 4 2
[Move] 58 1 4 2 1 4 3
[Move] 59 1 3 0 2 4 1
[Move] 60 1 4 2 1 4 3
[Move] 61 1 3 0 2 4 1
[Move] 62 2 3 1 3 4 1
[Move] 63 3 3 1 3 3 0
[Move] 64 3 4 2 2 3 3
[Move] 65 3 3 0 2 2 0
[Move] 66 3 2 0 3 2 1
[Move] 67 4 2 1 2 2 3
[Move] 68 3 2 3 3 2 1
[Move] 69 2 2 3 4 2 1
[Move] 70 1 2 3 4 3 2
[Move] 71 2 2 1 4 4 2
[Move] 72 3 2 1 4 3 0
[Move] 73 2 2 3 4 4 2
[Move] 74 2 1 0 3 4 3
[Move] 75 2 2 2 2 4 3
[Move] 76 3 2 1 1 4 3
[Move] 77 3 3 2 2 4 1
[Move] 78 3 2 0 3 4 1
[Move] 79 3 1 0 2 4 3
[Move] 80 2 1 3 1 4 3
[Move] 81 2 2 2 1 3 0
[Move] 82 2 1 0 2 3 1
[Move] 83 3 1 1 2 2 0
[Move] 84 2 1 3 2 3 2
[Move] 85 1 1 3 2 2 0
[Move] 86 1 2 2 2 1 0
