action step xA yA dirA xB yB dirB
- 0 1 6 1 9 10 0
[Move] 1 1 5 0 8 10 3
[Move] 2 1 4 0 8 9 0
[Move] 3 1 5 2 7 9 3
[Move] 4 2 5 1 7 8 0
[Move] 5 2 6 2 6 8 3
[Move] 6 2 7 2 6 9 2
[Move] 7 1 7 3 6 10 2
[Move] 8 2 7 1 6 9 0
[Move] 9 2 6 0 6 8 0
[Move] 10 3 6 1 7 8 1
[Move] 11 2 6 3 7 7 0
[Move] 12 2 7 2 7 8 2
[Move] 13 2 6 0 7 7 0
[Move] 14 2 7 2 7 6 0
[Move] 15 3 7 1 7 5 0
[Move] 16 4 7 1 7 6 2
[Move] 17 4 8 2 7 5 0
[Move] 18 5 8 1 7 4 0
[Move] 19 4 8 3 7 5 2
[Move] 20 3 8 3 7 6 2
[Move] 21 4 8 1 7 7 2
[Move] 22 3 8 3 7 6 0
[Move] 23 3 7 0 8 6 1
[Move] 24 3 8 2 8 5 0
[Move] 25 2 8 3 8 6 2
[Move] 26 2 7 0 7 6 3
[Move] 27 2 6 0 7 7 2
[Move] 28 3 6 1 6 7 3
[Move] 29 4 6 1 5 7 3
[Move] 30 4 7 2 5 6 0
[Move] 31 4 8 2 6 6 1
[Move] 32 4 9 2 6 7 2
[Move] 33 4 8 0 6 6 0
[Move] 34 4 7 0 6 7 2
[Move] 35 5 7 1 5 7 3
[Move] 36 6 7 1 5 8 2
[Move] 37 5 7 3 4 8 3
[Move] 38 6 7 1 3 8 3
[Move] 39 5 7 3 4 8 1
[Move] 40 4 7 3 4 9 2
[Move] 41 4 6 0 3 9 3
[Move] 42 5 6 1 3 8 0
[Move] 43 6 6 1 2 8 3
[Move] 44 7 6 1 2 9 2
[Move] 45 6 6 3 2 10 2
[Move] 46 7 6 1 2 9 0
[Move] 47 6 6 3 3 9 1
[Move] 48 7 6 1 3 10 2
[Move] 49 7 7 2 2 10 3
[Move] 50 7 8 2 3 10 1
[Move] 51 7 9 2 2 10 3
[Move] 52 7 8 0 3 10 1
[Move] 53 7 9 2 3 9 0
[Move] 54 6 9 3 3 8 0
[Move] 55 7 9 1 3 7 0
[Move] 56 6 9 3 4 7 1
[Move] 57 7 9 1 4 6 0
[Move] 58 7 10 2 3 6 3
[Move] 59 7 9 0 2 6 3
[Move] 60 7 8 0 1 6 3
[Move] 61 7 7 0 1 7 2
[Move] 62 7 6 0 1 8 2
[Move] 63 6 6 3 1 7 0
[Move] 64 5 6 3 2 7 1
[Move] 65 6 6 1 2 8 2
[Move] 66 6 5 0 2 7 0
[Move] 67 6 4 0 2 6 0
[Move] 68 5 4 3 2 5 0
[Move] 69 5 3 0 3 5 1
[Move] 70 6 3 1 4 5 1
[Move] 71 6 4 2 4 4 0
[Move] 72 6 5 2 4 3 0
[Move] 73 6 4 0 4 2 0
[Move] 74 6 5 2 4 1 0
[Move] 75 7 5 1 3 1 3
[Move] 76 7 4 0 3 2 2
[Move] 77 8 4 1 2 2 3
[Move] 78 8 3 0 2 1 0
[Move] 79 9 3 1 2 2 2
[Move] 80 9 4 2 3 2 1
[Move] 81 9 3 0 2 2 3
[Move] 82 10 3 1 1 2 3
[Move] 83 9 3 3 1 3 2
[Move] 84 8 3 3 2 3 1
[Move] 85 9 3 1 3 3 1
[Move] 86 10 3 1 3 4 2
[Move] 87 10 2 0 4 4 1
[Move] 88 10 3 2 5 4 1
[Move] 89 9 3 3 5 5 2
[Move] 90 10 3 1 5 4 0
[Move] 91 10 2 0 5 3 0
[Move] 92 10 1 0 4 3 3
[Move] 93 9 1 3 4 2 0
[Move] 94 8 1 3 4 3 2
[Move] 95 9 1 1 4 4 2
[Move] 96 8 1 3 4 5 2
[Move] 97 9 1 1 4 6 2
[Move] 98 9 2 2 3 6 3
[Move] 99 8 2 3 4 6 1
[Move] 100 8 3 2 5 6 1
[Move] 101 8 4 2 6 6 1
[Move] 102 8 5 2 6 5 0
[Move] 103 8 4 0 5 5 3
[Move] 104 8 5 2 6 5 1
[Move] 105 8 4 0 7 5 1
[Move] 106 8 5 2 7 6 2
[Move] 107 7 5 3 6 6 3
[Move] 108 7 4 0 6 7 2
[Move] 109 7 3 0 7 7 1
[Move] 110 7 2 0 6 7 3
[Move] 111 8 2 1 6 8 2
[Move] 112 8 1 0 6 9 2
[Move] 113 9 1 1 7 9 1
[Move] 114 10 1 1 8 9 1
[Move] 115 9 1 3 8 8 0
[Move] 116 9 2 2 9 8 1
[Move] 117 9 3 2 8 8 3
[Move] 118 9 4 2 7 8 3
[Move] 119 9 3 0 7 7 0
[Move] 120 9 2 0 7 8 2
[Move] 121 9 1 0 6 8 3
[Move] 122 10 1 1 5 8 3
[Move] 123 9 1 3 6 8 1
[Move] 124 10 1 1 7 8 1
[Move] 125 10 2 2 6 8 3
[Move] 126 10 1 0 6 7 0
[Move] 127 9 1 3 6 6 0
[Move] 128 9 2 2 6 7 2
[Move] 129 9 3 2 7 7 1
[Move] 130 9 2 0 7 6 0
[Move] 131 9 3 2 7 7 2
[Move] 132 9 2 0 7 8 2
[Move] 133 9 1 0 7 9 2
[Move] 134 8 1 3 7 10 2
[Move] 135 8 2 2 8 10 1
[Move] 136 8 3 2 9 10 1
[Move] 137 7 3 3 8 10 3
[Move] 138 7 2 0 7 10 3
[Move] 139 7 3 2 6 10 3
[Move] 140 7 2 0 5 10 3
[Move] 141 6 2 3 4 10 3
